TIC_ID,Label_Name,Label_Idx
TIC_SYNTH_0,stellar_variability,3
TIC_SYNTH_1,eclipsing_binary,1
TIC_SYNTH_2,planet_transit,0
TIC_SYNTH_3,planet_transit,0
TIC_SYNTH_4,stellar_variability,3
TIC_SYNTH_5,eclipsing_binary,1
TIC_SYNTH_6,planet_transit,0
TIC_SYNTH_7,eclipsing_binary,1
TIC_SYNTH_8,noise_no_signal,4
TIC_SYNTH_9,stellar_variability,3
TIC_SYNTH_10,eclipsing_binary,1
TIC_SYNTH_11,stellar_variability,3
TIC_SYNTH_12,planet_transit,0
TIC_SYNTH_13,eclipsing_binary,1
TIC_SYNTH_14,stellar_variability,3
TIC_SYNTH_15,planet_transit,0
TIC_SYNTH_16,stellar_variability,3
TIC_SYNTH_17,planet_transit,0
TIC_SYNTH_18,blend_or_contamination,2
TIC_SYNTH_19,stellar_variability,3
TIC_SYNTH_20,planet_transit,0
TIC_SYNTH_21,noise_no_signal,4
TIC_SYNTH_22,planet_transit,0
TIC_SYNTH_23,eclipsing_binary,1
TIC_SYNTH_24,planet_transit,0
TIC_SYNTH_25,eclipsing_binary,1
TIC_SYNTH_26,blend_or_contamination,2
TIC_SYNTH_27,blend_or_contamination,2
TIC_SYNTH_28,planet_transit,0
TIC_SYNTH_29,stellar_variability,3
TIC_SYNTH_30,noise_no_signal,4
TIC_SYNTH_31,noise_no_signal,4
TIC_SYNTH_32,noise_no_signal,4
TIC_SYNTH_33,eclipsing_binary,1
TIC_SYNTH_34,planet_transit,0
TIC_SYNTH_35,eclipsing_binary,1
TIC_SYNTH_36,stellar_variability,3
TIC_SYNTH_37,noise_no_signal,4
TIC_SYNTH_38,eclipsing_binary,1
TIC_SYNTH_39,blend_or_contamination,2
TIC_SYNTH_40,eclipsing_binary,1
TIC_SYNTH_41,stellar_variability,3
TIC_SYNTH_42,eclipsing_binary,1
TIC_SYNTH_43,blend_or_contamination,2
TIC_SYNTH_44,stellar_variability,3
TIC_SYNTH_45,stellar_variability,3
TIC_SYNTH_46,eclipsing_binary,1
TIC_SYNTH_47,eclipsing_binary,1
TIC_SYNTH_48,noise_no_signal,4
TIC_SYNTH_49,planet_transit,0
TIC_SYNTH_50,noise_no_signal,4
TIC_SYNTH_51,eclipsing_binary,1
TIC_SYNTH_52,eclipsing_binary,1
TIC_SYNTH_53,eclipsing_binary,1
TIC_SYNTH_54,eclipsing_binary,1
TIC_SYNTH_55,stellar_variability,3
TIC_SYNTH_56,planet_transit,0
TIC_SYNTH_57,blend_or_contamination,2
TIC_SYNTH_58,planet_transit,0
TIC_SYNTH_59,blend_or_contamination,2
TIC_SYNTH_60,planet_transit,0
TIC_SYNTH_61,noise_no_signal,4
TIC_SYNTH_62,stellar_variability,3
TIC_SYNTH_63,stellar_variability,3
TIC_SYNTH_64,blend_or_contamination,2
TIC_SYNTH_65,noise_no_signal,4
